kp,ki,Max power rate of G15.02 (max=341.165MW/min),Max power rate of G16.01 (max=686.878MW/min),Max power rate of G17.02 (max=95.200MW/min),Max power rate of G23.01 (max=485.898MW/min),Max power rate of G26.01 (max=356.785MW/min),Exceed max power rate or not?
1.1,0.01,159.2671,331.0458,45.0493,231.5825,173.8805,Not Exceed
1.1,0.01,163.7173,337.5422,45.5283,230.9939,172.8731,Not Exceed
1.1,0.01,180.995,341.6143,46.2207,238.087,178.5196,Not Exceed
1.1,0.02,167.8091,347.8376,46.9697,242.0007,181.7603,Not Exceed
1.1,0.02,172.2804,356.2156,47.9908,245.0585,183.5257,Not Exceed
1.1,0.02,185.123,360.7835,48.7073,251.8501,188.878,Not Exceed
1.1,0.03,176.9299,366.6914,49.0195,255.8876,190.9952,Not Exceed
1.1,0.03,181.2349,375.1834,50.5448,259.0816,194.1465,Not Exceed
1.1,0.03,189.2509,381.3241,51.5677,265.5842,199.2146,Not Exceed
1.1,0.04,186.4521,386.233,51.9039,270.7054,202.1452,Not Exceed
1.1,0.04,190.9049,395.9389,53.2966,273.0629,204.7356,Not Exceed
1.1,0.04,193.3786,403.3953,54.6664,280.7412,210.2078,Not Exceed
1.1,0.05,196.2687,407.148,54.7773,285.4563,213.244,Not Exceed
1.1,0.05,201.0809,416.6258,56.0403,287.8615,215.293,Not Exceed
1.1,0.05,203.7321,425.8439,57.7847,296.3455,221.6172,Not Exceed
1.1,0.06,206.5537,428.2948,57.6333,300.1258,224.2789,Not Exceed
1.1,0.06,211.5966,438.2127,58.8519,303.0361,226.6546,Not Exceed
1.1,0.06,215.099,449.5698,60.8917,312.711,233.8112,Not Exceed
1.1,0.07,216.7846,449.3383,60.4758,314.7229,235.2601,Not Exceed
1.1,0.07,222.0644,460.4804,61.819,318.1422,238.0675,Not Exceed
1.1,0.07,226.4226,473.1874,64.1663,328.9967,246.0458,Not Exceed
1.1,0.08,226.96,470.276,63.3049,329.4876,246.1891,Not Exceed
1.1,0.08,235.9705,517.6847,65.8871,354.756,267.6192,Not Exceed
1.1,0.08,270.9519,590.5629,76.2881,408.1969,307.5595,Not Exceed
1.2,0.01,171.3002,356.5467,48.7285,249.5001,187.3017,Not Exceed
1.2,0.01,176.5588,361.7661,48.8534,247.158,186.5977,Not Exceed
1.2,0.01,197.0385,367.9067,49.8901,255.2555,191.9824,Not Exceed
1.2,0.02,179.105,371.537,50.4238,259.8436,195.1245,Not Exceed
1.2,0.02,184.2284,380.2531,51.2934,260.3397,194.8866,Not Exceed
1.2,0.02,201.165,385.2918,52.103,268.7403,201.5299,Not Exceed
1.2,0.03,187.5364,388.6234,52.4574,270.1781,202.941,Not Exceed
1.2,0.03,192.7511,398.7007,53.7289,274.1808,205.3687,Not Exceed
1.2,0.03,205.2914,404.7705,54.6532,282.3399,211.7652,Not Exceed
1.2,0.04,196.3069,406.795,54.4896,283.156,211.8493,Not Exceed
1.2,0.04,201.447,417.1088,56.2005,287.9804,215.8192,Not Exceed
1.2,0.04,209.4177,424.5584,57.476,295.9105,221.9787,Not Exceed
1.2,0.05,205.6538,425.9842,57.0551,297.6215,222.2121,Not Exceed
1.2,0.05,210.9616,437.2971,58.9086,301.7384,226.238,Not Exceed
1.2,0.05,213.7725,446.2773,60.3937,310.4102,232.4332,Not Exceed
1.2,0.06,214.9658,445.1076,59.8571,312.0119,233.0371,Not Exceed
1.2,0.06,220.4471,457.6269,61.6087,315.455,236.6253,Not Exceed
1.2,0.06,224.1294,467.9301,63.4535,325.326,243.6495,Not Exceed
1.2,0.07,224.4669,465.5231,62.6437,326.3283,243.805,Not Exceed
1.2,0.07,230.5277,477.8885,64.3006,330.0697,246.9809,Not Exceed
1.2,0.07,234.7886,489.7548,66.502,340.5095,254.8284,Not Exceed
1.2,0.08,234.4402,486.0427,65.4151,340.5683,254.5146,Not Exceed
1.2,0.08,240.7625,498.5312,67.0086,344.8395,257.9797,Not Exceed
1.2,0.08,276.8193,599.9648,77.8152,414.6795,312.43,Not Exceed
1.3,0.01,183.2709,381.5352,52.3688,267.5231,200.9199,Not Exceed
1.3,0.01,189.1744,387.0784,52.0833,265.5375,200.5893,Not Exceed
1.3,0.01,213.0682,393.6836,53.5038,273.051,205.3657,Not Exceed
1.3,0.02,190.5519,396.4157,54.0562,277.3396,208.2253,Not Exceed
1.3,0.02,196.4843,403.535,54.501,275.7084,207.4113,Not Exceed
1.3,0.02,217.1933,410.9621,55.6841,285.0945,214.3121,Not Exceed
1.3,0.03,198.3737,411.2758,55.8241,287.5947,215.9805,Not Exceed
1.3,0.03,204.286,421.7968,56.9142,288.6133,216.148,Not Exceed
1.3,0.03,221.3183,428.2214,57.9417,298.5599,223.913,Not Exceed
1.3,0.04,206.697,428.2389,57.8418,297.8355,223.7259,Not Exceed
1.3,0.04,212.7119,440.0192,59.3227,302.2316,226.3947,Not Exceed
1.3,0.04,225.4431,447.5975,60.4448,311.9963,234.0254,Not Exceed
1.3,0.05,214.9996,445.2579,59.8562,309.9631,231.9039,Not Exceed
1.3,0.05,221.1212,458.2022,61.7267,315.8085,236.6754,Not Exceed
1.3,0.05,229.5678,467.0838,63.1942,325.4039,244.1162,Not Exceed
1.3,0.06,224.0449,464.094,62.0331,323.0049,241.7238,Not Exceed
1.3,0.06,230.2806,476.9879,64.3112,329.3441,246.9246,Not Exceed
1.3,0.06,233.9258,487.4868,65.9728,338.8926,254.1851,Not Exceed
1.3,0.07,233.1854,482.8635,64.6342,337.0372,251.6703,Not Exceed
1.3,0.07,239.6113,496.9622,66.9678,342.8383,257.1422,Not Exceed
1.3,0.07,244.141,508.788,68.8562,353.5486,264.7862,Not Exceed
1.3,0.08,242.2928,501.5659,67.3498,350.9955,262.1662,Not Exceed
1.3,0.08,248.9128,516.8686,69.6163,356.291,267.3283,Not Exceed
1.3,0.08,291.3378,629.229,81.8162,434.1562,327.535,Not Exceed
1.4,0.01,195.2007,406.0045,55.9624,285.8955,214.6923,Not Exceed
1.4,0.01,201.5647,411.8859,55.2185,283.8802,214.4297,Not Exceed
1.4,0.01,229.0844,420.2778,57.0619,290.4769,218.4709,Not Exceed
1.4,0.02,202.2133,420.7792,57.6419,294.4834,221.1291,Not Exceed
1.4,0.02,208.8275,427.7781,57.6139,292.7864,221.226,Not Exceed
1.4,0.02,233.2117,436.1177,59.2321,302.2821,227.3619,Not Exceed
1.4,0.03,209.4282,435.5317,59.3189,304.6694,228.7613,Not Exceed
1.4,0.03,216.0818,444.1408,60.0048,303.5233,228.0184,Not Exceed
1.4,0.03,237.3353,453.2705,61.4006,314.2467,236.2359,Not Exceed
1.4,0.04,217.0742,450.262,61.126,314.8365,236.4494,Not Exceed
1.4,0.04,223.8354,462.1779,62.391,315.8202,236.9525,Not Exceed
1.4,0.04,241.4587,470.4041,63.6525,327.5492,245.6714,Not Exceed
1.4,0.05,225.2863,466.7136,63.1256,324.9897,244.1269,Not Exceed
1.4,0.05,232.1647,480.1758,64.7728,329.2166,246.6078,Not Exceed
1.4,0.05,245.5819,489.2649,66.1333,340.8229,255.6613,Not Exceed
1.4,0.06,233.4794,483.5034,65.1223,335.6575,251.7937,Not Exceed
1.4,0.06,240.4775,498.1344,67.1499,342.5717,256.7193,Not Exceed
1.4,0.06,249.705,508.5319,68.7228,354.0678,265.6295,Not Exceed
1.4,0.07,241.6514,500.5715,67.1155,348.4567,260.7417,Not Exceed
1.4,0.07,248.8659,516.0537,69.5225,355.8854,266.7993,Not Exceed
1.4,0.07,316.0397,683.1529,88.1272,469.8382,355.955,Not Exceed
1.4,0.08,250.5995,518.9912,69.4009,361.2097,270.3479,Not Exceed
